2026-03-18 15:01:39,138 | INFO | bob9k | Camera pan angle set to logical=68 physical=68
2026-03-18 15:01:39,191 | INFO | bob9k | Camera pan angle set to logical=66 physical=66
2026-03-18 15:01:39,243 | INFO | bob9k | Camera pan angle set to logical=64 physical=64
2026-03-18 15:01:39,486 | INFO | bob9k | Camera pan angle set to logical=62 physical=62
2026-03-18 15:01:39,538 | INFO | bob9k | Camera pan angle set to logical=60 physical=60
2026-03-18 15:01:39,591 | INFO | bob9k | Camera pan angle set to logical=58 physical=58
2026-03-18 15:01:39,840 | INFO | bob9k | Camera pan angle set to logical=56 physical=56
2026-03-18 15:01:39,895 | INFO | bob9k | Camera pan angle set to logical=54 physical=54
2026-03-18 15:01:39,946 | INFO | bob9k | Camera pan angle set to logical=52 physical=52
2026-03-18 15:01:40,204 | INFO | bob9k | Camera pan angle set to logical=57 physical=57
2026-03-18 15:01:40,205 | INFO | bob9k | Camera tilt angle set to logical=109 physical=109
2026-03-18 15:01:40,257 | INFO | bob9k | Camera pan angle set to logical=62 physical=62
2026-03-18 15:01:40,258 | INFO | bob9k | Camera tilt angle set to logical=113 physical=113
2026-03-18 15:01:40,311 | INFO | bob9k | Camera pan angle set to logical=67 physical=67
2026-03-18 15:01:40,312 | INFO | bob9k | Camera tilt angle set to logical=117 physical=117
2026-03-18 15:01:40,633 | INFO | bob9k | Camera pan angle set to logical=62 physical=62
2026-03-18 15:01:40,633 | INFO | bob9k | Camera tilt angle set to logical=120 physical=120
2026-03-18 15:01:40,636 | INFO | bob9k | Tracking stats: fps=7.84 rss_mb=138.6 detector=face status=ready detections=1 clients=1 tracking=True
2026-03-18 15:01:40,687 | INFO | bob9k | Camera pan angle set to logical=57 physical=57
2026-03-18 15:01:40,688 | INFO | bob9k | Camera tilt angle set to logical=123 physical=123
2026-03-18 15:01:40,740 | INFO | bob9k | Camera pan angle set to logical=52 physical=52
2026-03-18 15:01:40,740 | INFO | bob9k | Camera tilt angle set to logical=126 physical=126
2026-03-18 15:01:42,173 | INFO | bob9k | Camera pan angle set to logical=50 physical=50
2026-03-18 15:01:42,349 | INFO | bob9k | Camera pan angle set to logical=48 physical=48
2026-03-18 15:01:42,403 | INFO | bob9k | Camera pan angle set to logical=46 physical=46
2026-03-18 15:01:42,455 | INFO | bob9k | Camera pan angle set to logical=44 physical=44
2026-03-18 15:01:42,631 | INFO | bob9k | Camera pan angle set to logical=42 physical=42
2026-03-18 15:01:42,683 | INFO | bob9k | Camera pan angle set to logical=40 physical=40
2026-03-18 15:01:42,737 | INFO | bob9k | Camera pan angle set to logical=42 physical=42
